Los Angeles
Adam,A,8,4,9,8,2
Blake,B,9,5,7,8,8
Chris,C,7,8,5,5,5
Richard,D,5,10,4,4,5
Eric,E,6,7,5,10,8
Fred,F,7,5,5,5,5
Greg,G,3,3,3,9,10
Harold,H,1,1,2,8,9
Issac,Issacson,2,3,4,5,6
John,Johnson,1,1,3,2,10
Karl,Karlson,1,2,3,4,5
Louis,Lewison,6,7,8,9,10
Mark,Markson,2,4,6,8,10
Ned,Nedson,2,3,4,5,6
Oscar,Oscarson,1,1,3,2,10
Peter,Peterrson,1,2,3,4,5
Quinton,Quintonson,6,7,8,9,10
Ryan,Ryanson,2,4,6,8,10
Stu,Stuson,2,3,4,5,6
Thomas,Thompson,1,1,3,2,10
Ulysses S.,Grant,1,2,3,4,5
V,V,6,7,8,9,10
Winston,Winstonson,2,4,6,8,10
Zachary,Zachson,2,3,4,5,6
Bob,Smith,1,1,3,2,10
