New York
Derek,Jeter,1,1,2,8,9
Babe,Ruth,3,3,3,9,10
Aaron,Boone,7,5,5,5,5
Alex,Rodriguez,6,7,5,10,8
David,Justice,5,10,4,4,5
Tino,Martinez,7,8,5,5,5
Gary,Sanchez,9,5,7,8,8
Aaron,Judge,8,4,9,8,2
Hideki,Matsui,2,3,4,5,6
John,Johnson,1,1,3,2,10
Karl,Karlson,1,2,3,4,5
Louis,Lewison,6,7,8,9,10
Mark,Markson,2,4,6,8,10
Ned,Nedson,2,3,4,5,6
Oscar,Oscarson,1,1,3,2,10
Peter,Peterrson,1,2,3,4,5
Quinton,Quintonson,6,7,8,9,10
Ryan,Ryanson,2,4,6,8,10
Stu,Stuson,2,3,4,5,6
Thomas,Thompson,1,1,3,2,10
Ulysses S.,Grant,1,2,3,4,5
V,V,6,7,8,9,10
Winston,Winstonson,2,4,6,8,10
Zachary,Zachson,2,3,4,5,6
Bob,Smith,1,1,3,2,10
